rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1741185300000,5,48.450
陆水,61705000,陆水水库(坝上),1741187400000,5,48.450
陆水,61705000,陆水水库(坝上),1741188300000,5,48.450
陆水,61705000,陆水水库(坝上),1741188900000,6,48.450
陆水,61705000,陆水水库(坝上),1741189500000,6,48.450
陆水,61705000,陆水水库(坝上),1741191600000,6,48.450
陆水,61705000,陆水水库(坝上),1741192800000,6,48.450
陆水,61705000,陆水水库(坝上),1741193400000,6,48.450
陆水,61705000,陆水水库(坝上),1741194600000,6,48.450
陆水,61705000,陆水水库(坝上),1741195500000,6,48.450
陆水,61705000,陆水水库(坝上),1741196100000,6,48.450
陆水,61705000,陆水水库(坝上),1741196700000,6,48.450
陆水,61705000,陆水水库(坝上),1741198200000,6,48.450
陆水,61705000,陆水水库(坝上),1741199700000,6,48.450
陆水,61705000,陆水水库(坝上),1741200300000,6,48.450
陆水,61705000,陆水水库(坝上),1741201500000,6,48.450
陆水,61705000,陆水水库(坝上),1741202700000,6,48.450
陆水,61705000,陆水水库(坝上),1741203300000,6,48.450
陆水,61705000,陆水水库(坝上),1741203900000,6,48.450
陆水,61705000,陆水水库(坝上),1741205400000,6,48.450
陆水,61705000,陆水水库(坝上),1741206300000,6,48.450
陆水,61705000,陆水水库(坝上),1741206900000,6,48.450
陆水,61705000,陆水水库(坝上),1741207500000,6,48.450
陆水,61705000,陆水水库(坝上),1741208700000,6,48.450
陆水,61705000,陆水水库(坝上),1741209600000,6,48.450
陆水,61705000,陆水水库(坝上),1741210200000,6,48.450
陆水,61705000,陆水水库(坝上),1741210800000,6,48.450
陆水,61705000,陆水水库(坝上),1741211400000,6,48.450
陆水,61705000,陆水水库(坝上),1741212300000,6,48.450
陆水,61705000,陆水水库(坝上),1741213500000,6,48.450
